date,id_coord,plume,set,lat,lon,coord_x,coord_y,path,api_response
20230223,id_6675,yes,train,31.52875,74.330625,24,47,images/plume/20230223_methane_mixing_ratio_id_6675,117.43402777777777
20230103,id_2542,yes,train,35.538,112.524,42,37,images/plume/20230103_methane_mixing_ratio_id_2542,70.87199074074074
20230301,id_6546,yes,train,21.06,84.93666666666667,58,15,images/plume/20230301_methane_mixing_ratio_id_6546,68.03842592592592
20230225,id_6084,yes,train,26.756666666666664,80.97333333333334,28,62,images/plume/20230225_methane_mixing_ratio_id_6084,99.7462962962963
20230105,id_2012,yes,train,34.8,40.77,59,44,images/plume/20230105_methane_mixing_ratio_id_2012,35.66111111111111
20230221,id_9028,yes,train,22.286666666666665,73.12666666666667,23,15,images/plume/20230221_methane_mixing_ratio_id_9028,69.9074074074074
20230129,id_6464,yes,train,27.0075,81.03999999999999,21,-2,images/plume/20230129_methane_mixing_ratio_id_6464,90.29606481481481
20230327,id_2274,yes,train,28.51,77.44239999999999,37,56,images/plume/20230327_methane_mixing_ratio_id_2274,107.21712962962962
20230303,id_9482,yes,train,23.95375,90.21875,41,64,images/plume/20230303_methane_mixing_ratio_id_9482,78.83217592592592
20230206,id_9857,yes,train,23.1375,72.495,63,65,images/plume/20230206_methane_mixing_ratio_id_9857,69.56944444444444
20230116,id_3733,yes,train,26.42428571428572,80.28428571428572,41,52,images/plume/20230116_methane_mixing_ratio_id_3733,99.3875
20230212,id_4447,yes,train,53.95454545454545,87.7790909090909,46,16,images/plume/20230212_methane_mixing_ratio_id_4447,21.934953703703705
20230120,id_9715,yes,train,19.12400000000001,72.886,45,9,images/plume/20230120_methane_mixing_ratio_id_9715,89.53449074074074
20230120,id_0080,yes,train,23.21333333333333,90.78,61,0,images/plume/20230120_methane_mixing_ratio_id_0080,72.96342592592593
20230301,id_6747,yes,train,25.79,85.395,53,25,images/plume/20230301_methane_mixing_ratio_id_6747,109.41851851851852
20230216,id_4447,yes,train,53.95454545454545,87.7790909090909,44,17,images/plume/20230216_methane_mixing_ratio_id_4447,21.934953703703705
20230216,id_4447,yes,train,53.95454545454545,87.7790909090909,39,8,images/plume/20230216_methane_mixing_ratio_id_4447,21.934953703703705
20230307,id_3192,yes,train,32.845,116.47,51,51,images/plume/20230307_methane_mixing_ratio_id_3192,80.01296296296296
20230110,id_8446,yes,train,22.930625,72.536875,9,3,images/plume/20230110_methane_mixing_ratio_id_8446,67.16805555555555
20230216,id_8446,yes,train,22.930625,72.536875,4,-2,images/plume/20230216_methane_mixing_ratio_id_8446,67.16805555555555
20230130,id_7566,yes,train,23.802,90.261,45,58,images/plume/20230130_methane_mixing_ratio_id_7566,78.83217592592592
20230221,id_8446,yes,train,22.930625,72.536875,3,3,images/plume/20230221_methane_mixing_ratio_id_8446,67.16805555555555
20230323,id_2274,yes,train,28.51,77.44239999999999,40,57,images/plume/20230323_methane_mixing_ratio_id_2274,107.21712962962962
20230227,id_6675,yes,train,31.52875,74.330625,23,47,images/plume/20230227_methane_mixing_ratio_id_6675,117.43402777777777
20230107,id_2542,yes,train,35.538,112.524,42,38,images/plume/20230107_methane_mixing_ratio_id_2542,70.87199074074074
20230208,id_8613,yes,train,24.29,90.195,33,61,images/plume/20230208_methane_mixing_ratio_id_8613,72.73148148148148
20230121,id_2774,yes,train,18.666666666666668,73.74166666666666,60,33,images/plume/20230121_methane_mixing_ratio_id_2774,59.11782407407407
20230325,id_9715,yes,train,19.12400000000001,72.886,51,6,images/plume/20230325_methane_mixing_ratio_id_9715,89.53449074074074
